route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
6630,TL,028,Boundary,,3,https://translink.ca/schedules-and-maps/route/28/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=28,,
6631,TL,029,Elliott/29th Avenue Station,,3,https://translink.ca/schedules-and-maps/route/29/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=29,,
6633,TL,041,41st Avenue,,3,https://translink.ca/schedules-and-maps/route/41/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=41,,
6635,TL,044,UBC Exchange/Downtown Express,,3,https://translink.ca/schedules-and-maps/route/44/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=44,,
6636,TL,049,49th Avenue,,3,https://translink.ca/schedules-and-maps/route/49/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=49,,
6637,TL,050,Waterfront Station/False Creek South,,3,https://translink.ca/schedules-and-maps/route/50/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=50,,
6638,TL,084,4th Avenue Express,,3,https://translink.ca/schedules-and-maps/route/84/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=84,,
6641,TL,099,Broadway B-Line,,3,https://translink.ca/schedules-and-maps/route/99/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=99,d04110,FFFFFF
6642,TL,100,Marine Drive,,3,https://translink.ca/schedules-and-maps/route/100/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=100,,
6643,TL,101,Lougheed Station/22nd St Station,,3,https://translink.ca/schedules-and-maps/route/101/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=101,,
6644,TL,104,22nd St Station/Annacis Island,,3,https://translink.ca/schedules-and-maps/route/104/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=104,,
6645,TL,106,6th Street,,3,https://translink.ca/schedules-and-maps/route/106/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=106,,
6646,TL,110,Lougheed Station/Metrotown Station,,3,https://translink.ca/schedules-and-maps/route/110/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=110,,
6647,TL,112,12th Street,,3,https://translink.ca/schedules-and-maps/route/112/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=112,,
6648,TL,116,North Fraser Way,,3,https://translink.ca/schedules-and-maps/route/116/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=116,,
6649,TL,123,Canada Way,,3,https://translink.ca/schedules-and-maps/route/123/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=123,,
6650,TL,129,Patterson Station/Holdom Station,,3,https://translink.ca/schedules-and-maps/route/129/direction/0/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_route&utm_term=129,,
